ID;SKU;Producto Nombre;Marca;Línea / Variante;Presentación / Formato;Categoría;Subcategoría;Contenido Neto;Unidad;EAN / Código de Barras;Costo sin IVA;Costo con IVA;Precio de Venta
351;ALC-IMP-GOL-354MLX-P12;Cerveza Imperial Golden 354ml Pack x12;Imperial;Golden;Pack x12 (354 ml Lata);Alcohol;Cerveza;354;ml;;$ 1.760,17;$ 2.129,81;$ 3.036,56
352;ALC-IMP-GOL-473MLX;Cerveza Imperial Golden 473 ml;Imperial;Golden;473 ml Lata (consumo al paso);Alcohol;Cerveza;473;ml;;$ 3.283,83;$ 3.973,43;$ 5.450,06
353;ALC-IMP-GOL-473MLX-P6;Cerveza Imperial Golden 473ml Pack x6;Imperial;Golden;Pack x6 (473 ml Lata);Alcohol;Cerveza;473;ml;;$ 2.227,80;$ 2.695,64;$ 4.652,96
354;ALC-IMP-GOL-473MLX-P12;Cerveza Imperial Golden 473ml Pack x12;Imperial;Golden;Pack x12 (473 ml Lata);Alcohol;Cerveza;473;ml;;$ 2.407,72;$ 2.913,34;$ 5.410,26
355;ALC-IMP-GOL-500MLX;Cerveza Imperial Golden 500 ml;Imperial;Golden;500 ml Lata (consumo al paso);Alcohol;Cerveza;500;ml;;$ 2.002,15;$ 2.422,60;$ 3.368,61
356;ALC-IMP-GOL-1LXX;Cerveza Imperial Golden 1 L;Imperial;Golden;1 L Botella (hogar);Alcohol;Cerveza;1;L;;$ 2.933,88;$ 3.549,99;$ 5.939,73
357;ALC-PAT-AMB-330MLX;Cerveza Patagonia Amber Lager 330 ml;Patagonia;Amber Lager;330 ml Lata (consumo al paso);Alcohol;Cerveza;330;ml;;$ 3.300,59;$ 3.993,71;$ 6.878,49
358;ALC-PAT-AMB-330MLX-P6;Cerveza Patagonia Amber Lager 330ml Pack x6;Patagonia;Amber Lager;Pack x6 (330 ml Lata);Alcohol;Cerveza;330;ml;;$ 1.914,22;$ 2.316,21;$ 3.128,11
359;ALC-PAT-AMB-330MLX-P12;Cerveza Patagonia Amber Lager 330ml Pack x12;Patagonia;Amber Lager;Pack x12 (330 ml Lata);Alcohol;Cerveza;330;ml;;$ 911,87;$ 1.103,36;$ 1.929,79
360;ALC-PAT-AMB-354MLX;Cerveza Patagonia Amber Lager 354 ml;Patagonia;Amber Lager;354 ml Lata (consumo al paso);Alcohol;Cerveza;354;ml;;$ 1.131,62;$ 1.369,26;$ 2.198,27
361;ALC-PAT-AMB-354MLX-P6;Cerveza Patagonia Amber Lager 354ml Pack x6;Patagonia;Amber Lager;Pack x6 (354 ml Lata);Alcohol;Cerveza;354;ml;;$ 1.709,06;$ 2.067,96;$ 3.481,42
362;ALC-PAT-AMB-354MLX-P12;Cerveza Patagonia Amber Lager 354ml Pack x12;Patagonia;Amber Lager;Pack x12 (354 ml Lata);Alcohol;Cerveza;354;ml;;$ 3.237,94;$ 3.917,91;$ 6.633,92
363;ALC-PAT-AMB-473MLX;Cerveza Patagonia Amber Lager 473 ml;Patagonia;Amber Lager;473 ml Lata (consumo al paso);Alcohol;Cerveza;473;ml;;$ 3.467,30;$ 4.195,43;$ 7.079,30
364;ALC-PAT-AMB-473MLX-P6;Cerveza Patagonia Amber Lager 473ml Pack x6;Patagonia;Amber Lager;Pack x6 (473 ml Lata);Alcohol;Cerveza;473;ml;;$ 3.011,21;$ 3.643,56;$ 6.301,48
365;ALC-PAT-AMB-473MLX-P12;Cerveza Patagonia Amber Lager 473ml Pack x12;Patagonia;Amber Lager;Pack x12 (473 ml Lata);Alcohol;Cerveza;473;ml;;$ 3.103,92;$ 3.755,74;$ 5.072,62
366;ALC-PAT-AMB-500MLX;Cerveza Patagonia Amber Lager 500 ml;Patagonia;Amber Lager;500 ml Lata (consumo al paso);Alcohol;Cerveza;500;ml;;$ 715,35;$ 865,57;$ 1.227,31
367;ALC-PAT-AMB-1LXX;Cerveza Patagonia Amber Lager 1 L;Patagonia;Amber Lager;1 L Botella (hogar);Alcohol;Cerveza;1;L;;$ 748,35;$ 905,50;$ 1.288,02
368;ALC-BUD-ORI-330MLX;Cerveza Budweiser Original 330 ml;Budweiser;Original;330 ml Lata (consumo al paso);Alcohol;Cerveza;330;ml;;$ 606,25;$ 733,56;$ 1.005,29
369;ALC-BUD-ORI-330MLX-P6;Cerveza Budweiser Original 330ml Pack x6;Budweiser;Original;Pack x6 (330 ml Lata);Alcohol;Cerveza;330;ml;;$ 1.226,41;$ 1.483,96;$ 2.797,75
370;ALC-BUD-ORI-330MLX-P12;Cerveza Budweiser Original 330ml Pack x12;Budweiser;Original;Pack x12 (330 ml Lata);Alcohol;Cerveza;330;ml;;$ 3.494,94;$ 4.228,88;$ 5.804,85
371;ALC-BUD-ORI-354MLX;Cerveza Budweiser Original 354 ml;Budweiser;Original;354 ml Lata (consumo al paso);Alcohol;Cerveza;354;ml;;$ 2.766,99;$ 3.348,06;$ 6.248,77
372;ALC-BUD-ORI-354MLX-P6;Cerveza Budweiser Original 354ml Pack x6;Budweiser;Original;Pack x6 (354 ml Lata);Alcohol;Cerveza;354;ml;;$ 1.733,36;$ 2.097,37;$ 3.063,96
373;ALC-BUD-ORI-354MLX-P12;Cerveza Budweiser Original 354ml Pack x12;Budweiser;Original;Pack x12 (354 ml Lata);Alcohol;Cerveza;354;ml;;$ 2.772,17;$ 3.354,33;$ 4.733,40
374;ALC-BUD-ORI-473MLX;Cerveza Budweiser Original 473 ml;Budweiser;Original;473 ml Lata (consumo al paso);Alcohol;Cerveza;473;ml;;$ 1.948,86;$ 2.358,12;$ 3.796,81
375;ALC-BUD-ORI-473MLX-P6;Cerveza Budweiser Original 473ml Pack x6;Budweiser;Original;Pack x6 (473 ml Lata);Alcohol;Cerveza;473;ml;;$ 1.359,17;$ 1.644,60;$ 2.292,62
376;ALC-BUD-ORI-473MLX-P12;Cerveza Budweiser Original 473ml Pack x12;Budweiser;Original;Pack x12 (473 ml Lata);Alcohol;Cerveza;473;ml;;$ 620,62;$ 750,95;$ 1.189,04
377;ALC-BUD-ORI-500MLX;Cerveza Budweiser Original 500 ml;Budweiser;Original;500 ml Lata (consumo al paso);Alcohol;Cerveza;500;ml;;$ 1.506,94;$ 1.823,40;$ 2.957,58
378;ALC-BUD-ORI-1LXX;Cerveza Budweiser Original 1 L;Budweiser;Original;1 L Botella (hogar);Alcohol;Cerveza;1;L;;$ 771,58;$ 933,61;$ 1.696,01
379;ALC-TOR-TIN-750MLX;Vino Toro Tinto 750 ml;Toro;Tinto;750 ml Botella (mesa);Alcohol;Vinos;750;ml;;$ 2.902,80;$ 3.512,39;$ 5.091,73
380;ALC-TOR-TIN-1LXX;Vino Toro Tinto 1 L;Toro;Tinto;1 L Tetra (mesa);Alcohol;Vinos;1;L;;$ 2.687,40;$ 3.251,75;$ 4.447,79
381;ALC-TOR-TIN-355MLX;Vino Toro Tinto 355 ml;Toro;Tinto;355 ml Lata (listo para beber);Alcohol;Vinos;355;ml;;$ 2.821,53;$ 3.414,05;$ 6.381,01
382;ALC-TOR-TIN-355MLX-P4;Vino Toro Tinto 355ml Pack x4;Toro;Tinto;Pack x4 (355 ml Lata);Alcohol;Vinos;355;ml;;$ 763,57;$ 923,92;$ 1.611,32
383;ALC-TOR-TIN-355MLX-P6;Vino Toro Tinto 355ml Pack x6;Toro;Tinto;Pack x6 (355 ml Lata);Alcohol;Vinos;355;ml;;$ 2.424,24;$ 2.933,33;$ 5.506,21
384;ALC-TOR-BLA-750MLX;Vino Toro Blanco 750 ml;Toro;Blanco;750 ml Botella (mesa);Alcohol;Vinos;750;ml;;$ 2.301,23;$ 2.784,49;$ 3.772,51
385;ALC-TOR-BLA-1LXX;Vino Toro Blanco 1 L;Toro;Blanco;1 L Tetra (mesa);Alcohol;Vinos;1;L;;$ 1.955,30;$ 2.365,91;$ 4.339,82
386;ALC-TOR-BLA-355MLX;Vino Toro Blanco 355 ml;Toro;Blanco;355 ml Lata (listo para beber);Alcohol;Vinos;355;ml;;$ 2.199,75;$ 2.661,70;$ 4.009,98
387;ALC-TOR-BLA-355MLX-P4;Vino Toro Blanco 355ml Pack x4;Toro;Blanco;Pack x4 (355 ml Lata);Alcohol;Vinos;355;ml;;$ 3.244,61;$ 3.925,98;$ 6.608,53
388;ALC-TOR-BLA-355MLX-P6;Vino Toro Blanco 355ml Pack x6;Toro;Blanco;Pack x6 (355 ml Lata);Alcohol;Vinos;355;ml;;$ 1.289,02;$ 1.559,71;$ 2.672,98
389;ALC-TER-TIN-750MLX;Vino Termidor Tinto 750 ml;Termidor;Tinto;750 ml Botella (mesa);Alcohol;Vinos;750;ml;;$ 2.650,98;$ 3.207,69;$ 5.143,80
390;ALC-TER-TIN-1LXX;Vino Termidor Tinto 1 L;Termidor;Tinto;1 L Tetra (mesa);Alcohol;Vinos;1;L;;$ 3.409,31;$ 4.125,27;$ 6.127,12
391;ALC-TER-TIN-355MLX;Vino Termidor Tinto 355 ml;Termidor;Tinto;355 ml Lata (listo para beber);Alcohol;Vinos;355;ml;;$ 913,97;$ 1.105,90;$ 2.042,58
392;ALC-TER-TIN-355MLX-P4;Vino Termidor Tinto 355ml Pack x4;Termidor;Tinto;Pack x4 (355 ml Lata);Alcohol;Vinos;355;ml;;$ 2.255,59;$ 2.729,26;$ 4.553,85
393;ALC-TER-TIN-355MLX-P6;Vino Termidor Tinto 355ml Pack x6;Termidor;Tinto;Pack x6 (355 ml Lata);Alcohol;Vinos;355;ml;;$ 2.313,32;$ 2.799,12;$ 5.106,32
394;ALC-NOR-MAL-750MLX;Vino Norton Malbec 750 ml;Norton;Malbec;750 ml Botella (mesa);Alcohol;Vinos;750;ml;;$ 1.429,17;$ 1.729,30;$ 2.365,46
395;ALC-NOR-MAL-1LXX;Vino Norton Malbec 1 L;Norton;Malbec;1 L Tetra (mesa);Alcohol;Vinos;1;L;;$ 1.462,19;$ 1.769,25;$ 2.420,93
396;ALC-NOR-MAL-355MLX;Vino Norton Malbec 355 ml;Norton;Malbec;355 ml Lata (listo para beber);Alcohol;Vinos;355;ml;;$ 1.480,08;$ 1.790,90;$ 3.212,51
397;ALC-NOR-MAL-355MLX-P4;Vino Norton Malbec 355ml Pack x4;Norton;Malbec;Pack x4 (355 ml Lata);Alcohol;Vinos;355;ml;;$ 3.481,79;$ 4.212,97;$ 6.970,59
398;ALC-NOR-MAL-355MLX-P6;Vino Norton Malbec 355ml Pack x6;Norton;Malbec;Pack x6 (355 ml Lata);Alcohol;Vinos;355;ml;;$ 1.868,35;$ 2.260,70;$ 3.645,18
399;ALC-NOR-CHA-750MLX;Vino Norton Chardonnay 750 ml;Norton;Chardonnay;750 ml Botella (mesa);Alcohol;Vinos;750;ml;;$ 2.150,29;$ 2.601,85;$ 3.745,26
400;ALC-NOR-CHA-1LXX;Vino Norton Chardonnay 1 L;Norton;Chardonnay;1 L Tetra (mesa);Alcohol;Vinos;1;L;;$ 3.479,81;$ 4.210,57;$ 7.070,16
401;ALC-NOR-CHA-355MLX;Vino Norton Chardonnay 355 ml;Norton;Chardonnay;355 ml Lata (listo para beber);Alcohol;Vinos;355;ml;;$ 2.795,88;$ 3.383,01;$ 5.636,59
402;ALC-NOR-CHA-355MLX-P4;Vino Norton Chardonnay 355ml Pack x4;Norton;Chardonnay;Pack x4 (355 ml Lata);Alcohol;Vinos;355;ml;;$ 1.293,47;$ 1.565,10;$ 2.385,98
403;ALC-NOR-CHA-355MLX-P6;Vino Norton Chardonnay 355ml Pack x6;Norton;Chardonnay;Pack x6 (355 ml Lata);Alcohol;Vinos;355;ml;;$ 2.273,26;$ 2.750,64;$ 4.060,38
404;ALC-SAN-MAL-750MLX;Vino Santa Julia Malbec 750 ml;Santa Julia;Malbec;750 ml Botella (mesa);Alcohol;Vinos;750;ml;;$ 2.161,46;$ 2.615,37;$ 4.592,56
405;ALC-SAN-MAL-1LXX;Vino Santa Julia Malbec 1 L;Santa Julia;Malbec;1 L Tetra (mesa);Alcohol;Vinos;1;L;;$ 1.209,66;$ 1.463,69;$ 2.753,59
406;ALC-SAN-MAL-355MLX;Vino Santa Julia Malbec 355 ml;Santa Julia;Malbec;355 ml Lata (listo para beber);Alcohol;Vinos;355;ml;;$ 2.152,91;$ 2.605,02;$ 3.836,70
407;ALC-SAN-MAL-355MLX-P4;Vino Santa Julia Malbec 355ml Pack x4;Santa Julia;Malbec;Pack x4 (355 ml Lata);Alcohol;Vinos;355;ml;;$ 2.224,95;$ 2.692,19;$ 4.789,52
408;ALC-SAN-MAL-355MLX-P6;Vino Santa Julia Malbec 355ml Pack x6;Santa Julia;Malbec;Pack x6 (355 ml Lata);Alcohol;Vinos;355;ml;;$ 3.370,86;$ 4.078,74;$ 7.149,27
409;ALC-TRU-MAL-750MLX;Vino Trumpeter Malbec 750 ml;Trumpeter;Malbec;750 ml Botella (mesa);Alcohol;Vinos;750;ml;;$ 692,00;$ 837,32;$ 1.491,04
410;ALC-TRU-MAL-1LXX;Vino Trumpeter Malbec 1 L;Trumpeter;Malbec;1 L Tetra (mesa);Alcohol;Vinos;1;L;;$ 1.960,49;$ 2.372,19;$ 4.384,08
411;ALC-TRU-MAL-355MLX;Vino Trumpeter Malbec 355 ml;Trumpeter;Malbec;355 ml Lata (listo para beber);Alcohol;Vinos;355;ml;;$ 1.907,19;$ 2.307,70;$ 3.798,27
412;ALC-TRU-MAL-355MLX-P4;Vino Trumpeter Malbec 355ml Pack x4;Trumpeter;Malbec;Pack x4 (355 ml Lata);Alcohol;Vinos;355;ml;;$ 1.956,31;$ 2.367,14;$ 3.984,22
413;ALC-TRU-MAL-355MLX-P6;Vino Trumpeter Malbec 355ml Pack x6;Trumpeter;Malbec;Pack x6 (355 ml Lata);Alcohol;Vinos;355;ml;;$ 1.247,85;$ 1.509,90;$ 2.683,46
414;ALC-FER-CLÁ-450MLX;Fernet Branca Clásico 450 ml;Fernet Branca;Clásico;450 ml Botella (hogar);Alcohol;Aperitivos y Destilados;450;ml;;$ 2.797,16;$ 3.384,56;$ 4.913,06
415;ALC-FER-CLÁ-750MLX;Fernet Branca Clásico 750 ml;Fernet Branca;Clásico;750 ml Botella (hogar);Alcohol;Aperitivos y Destilados;750;ml;;$ 3.269,11;$ 3.955,62;$ 5.448,48
416;ALC-FER-CLÁ-1LXX;Fernet Branca Clásico 1 L;Fernet Branca;Clásico;1 L Botella (hogar);Alcohol;Aperitivos y Destilados;1;L;;$ 2.968,28;$ 3.591,62;$ 6.067,20
417;ALC-GAN-AME-450MLX;Gancia Americano 450 ml;Gancia;Americano;450 ml Botella (hogar);Alcohol;Aperitivos y Destilados;450;ml;;$ 3.060,94;$ 3.703,74;$ 5.576,08
418;ALC-GAN-AME-950MLX;Gancia Americano 950 ml;Gancia;Americano;950 ml Botella (hogar);Alcohol;Aperitivos y Destilados;950;ml;;$ 1.816,21;$ 2.197,61;$ 4.015,50
419;ALC-CIN-VER-950MLX;Cinzano Vermouth Rosso 950 ml;Cinzano;Vermouth Rosso;950 ml Botella (hogar);Alcohol;Aperitivos y Destilados;950;ml;;$ 947,97;$ 1.147,04;$ 1.999,94
420;ALC-CIN-VER-1LXX;Cinzano Vermouth Rosso 1 L;Cinzano;Vermouth Rosso;1 L Botella (hogar);Alcohol;Aperitivos y Destilados;1;L;;$ 1.205,21;$ 1.458,30;$ 2.088,05
421;ALC-SMI-VOD-750MLX;Smirnoff Vodka 750 ml;Smirnoff;Vodka;750 ml Botella (hogar);Alcohol;Aperitivos y Destilados;750;ml;;$ 2.135,93;$ 2.584,48;$ 3.690,16
422;ALC-SMI-VOD-1LXX;Smirnoff Vodka 1 L;Smirnoff;Vodka;1 L Botella (hogar);Alcohol;Aperitivos y Destilados;1;L;;$ 2.102,42;$ 2.543,93;$ 4.474,06
423;ALC-FER-LAT-473MLX;Fernet con Coca 473 ml;Fernet con Coca;Lata;473 ml Lata (listo para beber);Alcohol;RTD (Listos);473;ml;;$ 2.061,69;$ 2.494,64;$ 4.066,77
424;ALC-FER-LAT-473MLX-P6;Fernet con Coca 473ml Pack x6;Fernet con Coca;Lata;Pack x6 (473 ml Lata);Alcohol;RTD (Listos);473;ml;;$ 1.863,69;$ 2.255,06;$ 3.408,48
425;ALC-FER-LAT-473MLX-P12;Fernet con Coca 473ml Pack x12;Fernet con Coca;Lata;Pack x12 (473 ml Lata);Alcohol;RTD (Listos);473;ml;;$ 1.282,79;$ 1.552,18;$ 2.175,18
426;ALC-FER-LAT-310MLX;Fernet con Coca 310 ml;Fernet con Coca;Lata;310 ml Lata (listo para beber);Alcohol;RTD (Listos);310;ml;;$ 718,40;$ 869,26;$ 1.556,49
427;ALC-FER-LAT-310MLX-P6;Fernet con Coca 310ml Pack x6;Fernet con Coca;Lata;Pack x6 (310 ml Lata);Alcohol;RTD (Listos);310;ml;;$ 2.462,04;$ 2.979,07;$ 4.443,24
428;ALC-FER-LAT-310MLX-P12;Fernet con Coca 310ml Pack x12;Fernet con Coca;Lata;Pack x12 (310 ml Lata);Alcohol;RTD (Listos);310;ml;;$ 1.252,58;$ 1.515,62;$ 2.800,01
429;ALC-GIN-LAT-473MLX;Gin Tonic 473 ml;Gin Tonic;Lata;473 ml Lata (listo para beber);Alcohol;RTD (Listos);473;ml;;$ 2.309,52;$ 2.794,52;$ 4.593,07
430;ALC-GIN-LAT-473MLX-P6;Gin Tonic 473ml Pack x6;Gin Tonic;Lata;Pack x6 (473 ml Lata);Alcohol;RTD (Listos);473;ml;;$ 1.807,17;$ 2.186,68;$ 3.581,36
431;ALC-GIN-LAT-473MLX-P12;Gin Tonic 473ml Pack x12;Gin Tonic;Lata;Pack x12 (473 ml Lata);Alcohol;RTD (Listos);473;ml;;$ 3.412,89;$ 4.129,60;$ 7.235,92
432;GOL-JOR-CHO-40GXX;Alfajor Jorgito Chocolate 40 g;Jorgito;Chocolate;40 g Unidad (unidad);Golosinas;Alfajores;40;g;;$ 217,98;$ 263,76;$ 469,37
433;GOL-JOR-CHO-55GXX;Alfajor Jorgito Chocolate 55 g;Jorgito;Chocolate;55 g Unidad (unidad);Golosinas;Alfajores;55;g;;$ 819,56;$ 991,67;$ 1.339,99
434;GOL-JOR-CHO-70GXX;Alfajor Jorgito Chocolate 70 g;Jorgito;Chocolate;70 g Unidad (triple);Golosinas;Alfajores;70;g;;$ 199,76;$ 241,71;$ 345,46
435;GOL-JOR-CHO-40GXX-P6;Alfajor Jorgito Chocolate Pack x6;Jorgito;Chocolate;Pack x6 (40 g Unidad);Golosinas;Alfajores;40;g;;$ 362,85;$ 439,05;$ 619,07
436;GOL-JOR-CHO-40GXX-P12;Alfajor Jorgito Chocolate Pack x12;Jorgito;Chocolate;Pack x12 (40 g Unidad);Golosinas;Alfajores;40;g;;$ 752,78;$ 910,86;$ 1.583,21
437;GOL-JOR-BLA-40GXX;Alfajor Jorgito Blanco 40 g;Jorgito;Blanco;40 g Unidad (unidad);Golosinas;Alfajores;40;g;;$ 706,29;$ 854,61;$ 1.227,22
438;GOL-JOR-BLA-55GXX;Alfajor Jorgito Blanco 55 g;Jorgito;Blanco;55 g Unidad (unidad);Golosinas;Alfajores;55;g;;$ 649,58;$ 785,99;$ 1.348,48
439;GOL-JOR-BLA-70GXX;Alfajor Jorgito Blanco 70 g;Jorgito;Blanco;70 g Unidad (triple);Golosinas;Alfajores;70;g;;$ 672,15;$ 813,30;$ 1.103,30
440;GOL-JOR-BLA-40GXX-P6;Alfajor Jorgito Blanco Pack x6;Jorgito;Blanco;Pack x6 (40 g Unidad);Golosinas;Alfajores;40;g;;$ 537,27;$ 650,10;$ 972,16
441;GOL-JOR-BLA-40GXX-P12;Alfajor Jorgito Blanco Pack x12;Jorgito;Blanco;Pack x12 (40 g Unidad);Golosinas;Alfajores;40;g;;$ 217,55;$ 263,24;$ 403,51
442;GOL-JOR-DUL-40GXX;Alfajor Jorgito Dulce de leche 40 g;Jorgito;Dulce de leche;40 g Unidad (unidad);Golosinas;Alfajores;40;g;;$ 204,78;$ 247,78;$ 359,21
443;GOL-JOR-DUL-55GXX;Alfajor Jorgito Dulce de leche 55 g;Jorgito;Dulce de leche;55 g Unidad (unidad);Golosinas;Alfajores;55;g;;$ 816,37;$ 987,81;$ 1.581,64
444;GOL-JOR-DUL-70GXX;Alfajor Jorgito Dulce de leche 70 g;Jorgito;Dulce de leche;70 g Unidad (triple);Golosinas;Alfajores;70;g;;$ 825,61;$ 998,99;$ 1.651,92
445;GOL-JOR-DUL-40GXX-P6;Alfajor Jorgito Dulce de leche Pack x6;Jorgito;Dulce de leche;Pack x6 (40 g Unidad);Golosinas;Alfajores;40;g;;$ 735,15;$ 889,53;$ 1.322,34
446;GOL-JOR-DUL-40GXX-P12;Alfajor Jorgito Dulce de leche Pack x12;Jorgito;Dulce de leche;Pack x12 (40 g Unidad);Golosinas;Alfajores;40;g;;$ 364,47;$ 441,01;$ 767,45
447;GOL-GUA-CHO-40GXX;Alfajor Guaymallén Chocolate 40 g;Guaymallén;Chocolate;40 g Unidad (unidad);Golosinas;Alfajores;40;g;;$ 843,17;$ 1.020,24;$ 1.928,60
448;GOL-GUA-CHO-55GXX;Alfajor Guaymallén Chocolate 55 g;Guaymallén;Chocolate;55 g Unidad (unidad);Golosinas;Alfajores;55;g;;$ 819,01;$ 991,00;$ 1.376,51
449;GOL-GUA-CHO-70GXX;Alfajor Guaymallén Chocolate 70 g;Guaymallén;Chocolate;70 g Unidad (triple);Golosinas;Alfajores;70;g;;$ 678,10;$ 820,50;$ 1.533,85
450;GOL-GUA-CHO-40GXX-P6;Alfajor Guaymallén Chocolate Pack x6;Guaymallén;Chocolate;Pack x6 (40 g Unidad);Golosinas;Alfajores;40;g;;$ 340,42;$ 411,91;$ 686,22
451;GOL-GUA-CHO-40GXX-P12;Alfajor Guaymallén Chocolate Pack x12;Guaymallén;Chocolate;Pack x12 (40 g Unidad);Golosinas;Alfajores;40;g;;$ 537,33;$ 650,17;$ 966,00
452;GOL-GUA-FRU-40GXX;Alfajor Guaymallén Fruta 40 g;Guaymallén;Fruta;40 g Unidad (unidad);Golosinas;Alfajores;40;g;;$ 787,95;$ 953,42;$ 1.356,63
453;GOL-GUA-FRU-55GXX;Alfajor Guaymallén Fruta 55 g;Guaymallén;Fruta;55 g Unidad (unidad);Golosinas;Alfajores;55;g;;$ 267,45;$ 323,61;$ 466,59
454;GOL-GUA-FRU-70GXX;Alfajor Guaymallén Fruta 70 g;Guaymallén;Fruta;70 g Unidad (triple);Golosinas;Alfajores;70;g;;$ 410,08;$ 496,20;$ 871,57
455;GOL-GUA-FRU-40GXX-P6;Alfajor Guaymallén Fruta Pack x6;Guaymallén;Fruta;Pack x6 (40 g Unidad);Golosinas;Alfajores;40;g;;$ 385,92;$ 466,96;$ 703,75
456;GOL-GUA-FRU-40GXX-P12;Alfajor Guaymallén Fruta Pack x12;Guaymallén;Fruta;Pack x12 (40 g Unidad);Golosinas;Alfajores;40;g;;$ 863,77;$ 1.045,16;$ 1.775,07
457;GOL-GUA-BLA-40GXX;Alfajor Guaymallén Blanco 40 g;Guaymallén;Blanco;40 g Unidad (unidad);Golosinas;Alfajores;40;g;;$ 844,68;$ 1.022,06;$ 1.477,94
458;GOL-GUA-BLA-55GXX;Alfajor Guaymallén Blanco 55 g;Guaymallén;Blanco;55 g Unidad (unidad);Golosinas;Alfajores;55;g;;$ 802,56;$ 971,10;$ 1.434,62
459;GOL-GUA-BLA-70GXX;Alfajor Guaymallén Blanco 70 g;Guaymallén;Blanco;70 g Unidad (triple);Golosinas;Alfajores;70;g;;$ 682,48;$ 825,80;$ 1.394,63
460;GOL-GUA-BLA-40GXX-P6;Alfajor Guaymallén Blanco Pack x6;Guaymallén;Blanco;Pack x6 (40 g Unidad);Golosinas;Alfajores;40;g;;$ 679,94;$ 822,73;$ 1.539,49
461;GOL-GUA-BLA-40GXX-P12;Alfajor Guaymallén Blanco Pack x12;Guaymallén;Blanco;Pack x12 (40 g Unidad);Golosinas;Alfajores;40;g;;$ 129,99;$ 157,29;$ 261,32
462;GOL-FAN-TRI-40GXX;Alfajor Fantoche Triple Chocolate 40 g;Fantoche;Triple Chocolate;40 g Unidad (unidad);Golosinas;Alfajores;40;g;;$ 142,10;$ 171,94;$ 271,02
463;GOL-FAN-TRI-55GXX;Alfajor Fantoche Triple Chocolate 55 g;Fantoche;Triple Chocolate;55 g Unidad (unidad);Golosinas;Alfajores;55;g;;$ 639,59;$ 773,90;$ 1.363,43
464;GOL-FAN-TRI-70GXX;Alfajor Fantoche Triple Chocolate 70 g;Fantoche;Triple Chocolate;70 g Unidad (triple);Golosinas;Alfajores;70;g;;$ 842,61;$ 1.019,56;$ 1.683,59
465;GOL-FAN-TRI-40GXX-P6;Alfajor Fantoche Triple Chocolate Pack x6;Fantoche;Triple Chocolate;Pack x6 (40 g Unidad);Golosinas;Alfajores;40;g;;$ 364,05;$ 440,50;$ 763,03
466;GOL-FAN-TRI-40GXX-P12;Alfajor Fantoche Triple Chocolate Pack x12;Fantoche;Triple Chocolate;Pack x12 (40 g Unidad);Golosinas;Alfajores;40;g;;$ 228,30;$ 276,24;$ 442,78
467;GOL-FAN-TRI-40GXX-2;Alfajor Fantoche Triple Blanco 40 g;Fantoche;Triple Blanco;40 g Unidad (unidad);Golosinas;Alfajores;40;g;;$ 479,54;$ 580,24;$ 888,21
468;GOL-FAN-TRI-55GXX-2;Alfajor Fantoche Triple Blanco 55 g;Fantoche;Triple Blanco;55 g Unidad (unidad);Golosinas;Alfajores;55;g;;$ 612,31;$ 740,90;$ 1.017,85
469;GOL-FAN-TRI-70GXX-2;Alfajor Fantoche Triple Blanco 70 g;Fantoche;Triple Blanco;70 g Unidad (triple);Golosinas;Alfajores;70;g;;$ 802,42;$ 970,93;$ 1.696,98
470;GOL-FAN-TRI-40GXX-P6-2;Alfajor Fantoche Triple Blanco Pack x6;Fantoche;Triple Blanco;Pack x6 (40 g Unidad);Golosinas;Alfajores;40;g;;$ 156,00;$ 188,76;$ 356,97
471;GOL-FAN-TRI-40GXX-P12-2;Alfajor Fantoche Triple Blanco Pack x12;Fantoche;Triple Blanco;Pack x12 (40 g Unidad);Golosinas;Alfajores;40;g;;$ 319,60;$ 386,72;$ 718,95
472;GOL-TER-CLÁ-40GXX;Alfajor Terrabusi Clásico 40 g;Terrabusi;Clásico;40 g Unidad (unidad);Golosinas;Alfajores;40;g;;$ 423,85;$ 512,86;$ 799,80
473;GOL-TER-CLÁ-55GXX;Alfajor Terrabusi Clásico 55 g;Terrabusi;Clásico;55 g Unidad (unidad);Golosinas;Alfajores;55;g;;$ 860,20;$ 1.040,84;$ 1.805,98
474;GOL-TER-CLÁ-70GXX;Alfajor Terrabusi Clásico 70 g;Terrabusi;Clásico;70 g Unidad (triple);Golosinas;Alfajores;70;g;;$ 473,90;$ 573,42;$ 850,08
475;GOL-TER-CLÁ-40GXX-P6;Alfajor Terrabusi Clásico Pack x6;Terrabusi;Clásico;Pack x6 (40 g Unidad);Golosinas;Alfajores;40;g;;$ 870,55;$ 1.053,37;$ 1.977,93
476;GOL-TER-CLÁ-40GXX-P12;Alfajor Terrabusi Clásico Pack x12;Terrabusi;Clásico;Pack x12 (40 g Unidad);Golosinas;Alfajores;40;g;;$ 203,23;$ 245,91;$ 404,85
477;GOL-TER-TRI-40GXX;Alfajor Terrabusi Triple 40 g;Terrabusi;Triple;40 g Unidad (unidad);Golosinas;Alfajores;40;g;;$ 784,82;$ 949,63;$ 1.542,20
478;GOL-TER-TRI-55GXX;Alfajor Terrabusi Triple 55 g;Terrabusi;Triple;55 g Unidad (unidad);Golosinas;Alfajores;55;g;;$ 542,82;$ 656,81;$ 1.038,88
